WORD,COUNT
point,792
view,472
fold,404
leibniz,339
series,233
infinite,218
say,207
inflection,202
body,196
world,187
mean,185
matter,183
line,178
form,175
infinity,174
subject,161
baroque,159
go,157
understand,143
floor,143
soul,140
individual,127
curve,127
curvature,126
time,121
know,118
straight,112
like,110
philosophy,107
tell,105
word,105
thing,103
simple,101
envelop,97
pleat,96
sense,95
fine,92
idea,91
center,91
way,90
god,90
come,89
yes,88
concept,87
kind,86
number,86
problem,82
good,80
element,80
create,78
level,75
angle,75
find,74
movement,74
fact,71
call,70
pass,69
small,68
variable,65
consider,64
long,63
right,63
text,62
spontaneity,62
object,62
let,61
great,61
define,60
notion,59
follow,58
case,58
mathematic,58
machine,58
second,57
relation,56
start,55
monad,55
speak,54
think,54
reason,53
refer,52
moment,52
genetic,52
labyrinth,52
infinitely,50
give,49
principle,49
little,49
exist,49
question,48
state,48
organism,48
want,47
example,47
elastic,47
see,47
work,45
circle,44
window,44
need,43
low,43
grasp,43
portion,43
figure,43
triangle,43
answer,42
continuous,42
place,41
necessarily,41
entire,41
part,41
expression,40
outside,40
accord,39
certain,38
unfold,38
henceforth,38
possible,38
true,38
develop,37
read,37
precisely,37
correspond,37
order,37
variation,37
upper,37
include,37
city,37
characteristic,36
aggregate,36
physics,36
equal,36
system,35
mass,35
clear,35
painting,35
try,34
atom,34
inclusion,34
philosopher,33
end,33
simply,33
show,33
new,33
vertex,33
look,32
today,32
philosophical,32
remark,32
lion,32
constitute,31
beautiful,31
ok,31
irrational,31
power,31
present,30
operation,30
descarte,30
change,30
express,30
substance,30
information,29
get,29
mathematical,29
rectilinear,29
space,29
arrange,29
mirror,29
unity,29
important,28
term,28
ask,28
continue,28
marble,28
klee,28
necessary,28
truth,28
etc,27
hard,27
entirely,26
treatment,26
masse,26
clearly,26
believe,25
condition,25
theme,25
bit,25
final,25
insofar,25
leave,24
hole,24
proper,24
century,23
explain,23
imply,23
fluid,23
draw,23
status,23
take,23
fly,23
ideal,23
begin,23
eh,23
perspective,23
comprehension,23
doubt,22
stop,22
prefer,22
extension,22
organic,22
open,22
meeting,22
tangent,22
recall,22
heidegger,22
profile,22
close,22
metamorphosis,22
year,21
establish,21
fundamental,21
famous,21
lot,21
extent,21
degree,21
contain,21
theory,21
development,21
finite,21
happen,21
fish,21
ah,21
able,21
introduce,21
site,21
grid,21
history,20
hypothesis,20
locate,20
cease,20
interest,20
strange,20
well,20
step,20
return,20
possibility,20
assume,20
affect,20
add,20
drawing,20
genesis,20
composite,20
transformation,20
animal,20
objectile,20
c,20
inside,20
predicate,20
inverse,20
interesting,19
aspect,19
general,19
obviously,19
notably,19
passage,19
round,19
occur,19
completely,19
proposition,19
cause,19
b,19
common,19
arithmetic,19
multiplicity,19
individuation,19
life,18
concern,18
consist,18
act,18
compose,18
envelopment,18
specifically,18
conical,18
particular,17
extreme,17
discuss,17
immediately,17
study,17
fall,17
encompass,17
cut,17
concavity,17
plus,17
proof,17
neo,17
sartre,17
seventeenth,16
bulk,16
single,16
connect,16
law,16
speed,16
appear,16
indicate,16
provide,16
occupy,16
implicate,16
exactly,16
vitalism,16
death,16
hand,16
write,16
region,16
notice,16
manner,16
natural,15
architecture,15
guidepost,15
wölfflin,15
soft,15
use,15
link,15
tiny,15
opposite,15
leibnizian,15
live,15
constant,15
egg,15
contrary,15
comment,15
propose,15
reach,15
name,15
type,15
caesar,15
cone,15
door,15
distinguish,14
designate,14
nature,14
certainly,14
finally,14
remain,14
increase,14
water,14
art,14
break,14
far,14
force,14
substitute,14
thought,14
pre,14
discover,14
complicated,14
account,14
convergent,14
move,14
plane,14
have,14
difficult,14
collaboration,14
non,14
complete,14
lose,14
remember,14
parabola,14
receive,14
ellipse,14
perspectivism,14
superject,14
reading,14
necessity,13
truly,13
bring,13
treat,13
recognize,13
allow,13
position,13
model,13
insist,13
greatly,13
absolutely,13
reasonable,13
hold,13
turn,13
living,13
evolution,13
course,13
early,13
axis,13
kandinsky,13
exterior,13
note,13
will,13
double,13
segment,13
extremely,13
ontological,13
family,13
geometry,13
false,13
insert,13
fractional,13
projection,13
visible,13
introduction,12
nonetheless,12
essential,12
face,12
construct,12
forward,12
book,12
undertake,12
pond,12
harmony,12
difference,12
precede,12
conception,12
literally,12
strictly,12
derive,12
separate,12
modern,12
rapport,12
singular,12
cross,12
perfect,12
logic,12
reference,12
merleau,12
run,12
chinese,12
irregular,12
deleuze,12
talk,12
section,12
attribute,12
plurality,12
die,11
difficulty,11
operate,11
action,11
sign,11
intuition,11
group,11
paragraph,11
monadology,11
limit,11
multiple,11
vertical,11
direction,11
oblique,11
require,11
calculus,11
paul,11
different,11
person,11
goal,11
existence,11
ponty,11
function,11
compact,11
domain,11
specialist,11
proclus,11
vein,11
offer,10
era,10
thousand,10
consequence,10
oh,10
pose,10
dimension,10
latin,10
represent,10
opposition,10
result,10
engender,10
divide,10
sum,10
actual,10
special,10
importance,10
animalcule,10
definition,10
describe,10
fourth,10
determine,10
make,10
virtual,10
virtue,10
determination,10
universe,10
belong,10
exclamatory,10
light,10
realize,10
lovely,10
fifth,10
inseparable,10
hope,10
connection,10
